empresa;descrição;cidade;protocolo;created_at;status_os;data_encerramento_prot;Nome do Técnico;OLT;Regional;Motivo;Motivo da Pendência;Turno;aging_dias
Conecta+;Reparo de Fibra;Sumaré;20266911147;18/02/2026 17:03:03;Pendente;18/02/2026 21:50:03;Maria Oliveira;OLT-HUAWEI-8;Sumaré;Reparo de Fibra;Chuva Forte/Segurança;Manhã;0
Horizon Telecom;Instalação Nova;Sumaré;20266386915;17/02/2026 04:51:03;Pendente;17/02/2026 15:51:03;Maria Oliveira;OLT-HUAWEI-6;Sumaré;Instalação Nova;Falta de Tempo/Janela;Manhã;1
FiberTech;Suporte Wi-Fi;Hortolândia;20269459168;17/02/2026 01:36:03;Pendente;17/02/2026 11:36:03;Maria Oliveira;OLT-ZTE-8;Hortolândia;Suporte Wi-Fi;Dificuldade Técnica (Poste/Tubulação);Tarde;1
Conecta+;Troca de Tecnologia;Valinhos;20266999922;18/02/2026 15:49:03;Pendente;18/02/2026 21:50:03;Maria Oliveira;OLT-HUAWEI-10;Valinhos;Troca de Tecnologia;Cliente Ausente;Manhã;0
Conecta+;Troca de Tecnologia;Paulínia;20261553871;18/02/2026 04:15:03;Pendente;18/02/2026 15:15:03;João Silva;OLT-HUAWEI-6;Paulínia;Troca de Tecnologia;Cliente Ausente;Manhã;0
FiberTech;Troca de Tecnologia;Hortolândia;20268879199;18/02/2026 18:21:03;Pendente;18/02/2026 21:50:03;João Silva;OLT-HUAWEI-3;Hortolândia;Troca de Tecnologia;Chuva Forte/Segurança;Manhã;0
Horizon Telecom;Suporte Wi-Fi;Campinas;20267340756;17/02/2026 21:09:03;Pendente;18/02/2026 04:09:03;Carlos Santos;OLT-NOKIA-2;Campinas;Suporte Wi-Fi;Equipamento Defeituoso;Manhã;1
Conecta+;Suporte Wi-Fi;Campinas;20265676233;16/02/2026 13:51:03;Pendente;17/02/2026 00:51:03;João Silva;OLT-ZTE-10;Campinas;Suporte Wi-Fi;Dificuldade Técnica (Poste/Tubulação);Tarde;2
Horizon Telecom;Instalação Nova;Sumaré;20262195930;16/02/2026 08:12:03;Pendente;17/02/2026 08:12:03;Carlos Santos;OLT-ZTE-1;Sumaré;Instalação Nova;Cliente Ausente;Tarde;2
Horizon Telecom;Instalação Nova;Sumaré;20269921964;18/02/2026 07:17:03;Pendente;18/02/2026 18:17:03;Kevyn Ferrezin;OLT-ZTE-6;Sumaré;Instalação Nova;Cliente Ausente;Tarde;0
Conecta+;Suporte Wi-Fi;Paulínia;20262181400;18/02/2026 06:34:03;Pendente;18/02/2026 15:34:03;Carlos Santos;OLT-NOKIA-2;Paulínia;Suporte Wi-Fi;Chuva Forte/Segurança;Tarde;0
Conecta+;Reparo de Fibra;Sumaré;20266234157;13/02/2026 11:03:03;Pendente;13/02/2026 15:03:03;Ana Souza;OLT-ZTE-6;Sumaré;Reparo de Fibra;Dificuldade Técnica (Poste/Tubulação);Manhã;5
Conecta+;Mudança de Endereço;Americana;20261526439;18/02/2026 17:53:03;Pendente;18/02/2026 19:53:03;Ana Souza;OLT-HUAWEI-2;Americana;Mudança de Endereço;Falta de Tempo/Janela;Manhã;0
Conecta+;Suporte Wi-Fi;Valinhos;20261516584;16/02/2026 14:31:03;Pendente;17/02/2026 10:31:03;Maria Oliveira;OLT-HUAWEI-1;Valinhos;Suporte Wi-Fi;Cliente Ausente;Tarde;2
Conecta+;Troca de Tecnologia;Paulínia;20263103217;15/02/2026 04:30:03;Pendente;16/02/2026 00:30:03;João Silva;OLT-HUAWEI-1;Paulínia;Troca de Tecnologia;Cliente Ausente;Tarde;3
Horizon Telecom;Instalação Nova;Americana;20267063179;16/02/2026 22:15:03;Pendente;17/02/2026 09:15:03;João Silva;OLT-HUAWEI-10;Americana;Instalação Nova;Falta de Tempo/Janela;Manhã;1
